filename,page,char_count,table_count,is_scanned_guess
A_HRC_51_46-FR.pdf,7,4349,0,False
A_HRC_51_46-FR.pdf,8,4229,0,False
A_HRC_51_46-FR.pdf,9,4076,0,False
A_HRC_51_46-FR.pdf,10,4275,0,False
A_HRC_51_46-FR.pdf,11,3816,0,False
A_HRC_51_46-FR.pdf,12,4639,0,False
A_HRC_51_46-FR.pdf,13,3880,0,False
A_HRC_51_46-FR.pdf,14,4304,0,False
A_HRC_51_46-FR.pdf,15,4636,0,False
A_HRC_51_46-FR.pdf,16,3978,0,False
A_HRC_51_46-FR.pdf,17,3349,0,False
A_HRC_51_46-FR.pdf,18,4687,0,False
A_HRC_51_46-FR.pdf,19,4635,0,False
A_HRC_51_46-FR.pdf,20,3778,0,False
A_HRC_51_46-FR.pdf,21,3246,0,False
A_HRC_51_46-FR.pdf,22,2010,0,False
Ethiopia RPRF-11032024.pdf,1,4670,1,False
Ethiopia RPRF-11032024.pdf,2,3989,0,False
Ethiopia RPRF-11032024.pdf,3,4686,0,False
Ethiopia RPRF-11032024.pdf,4,4057,0,False
Ethiopia RPRF-11032024.pdf,5,4910,0,False
Ethiopia RPRF-11032024.pdf,6,4439,0,False
Ethiopia RPRF-11032024.pdf,7,4683,0,False
Ethiopia RPRF-11032024.pdf,8,4563,0,False
Ethiopia RPRF-11032024.pdf,9,4845,0,False
Ethiopia RPRF-11032024.pdf,10,4341,0,False
Ethiopia RPRF-11032024.pdf,11,4100,0,False
Ethiopia RPRF-11032024.pdf,12,4676,0,False
Ethiopia RPRF-11032024.pdf,13,4189,0,False
Ethiopia RPRF-11032024.pdf,14,2595,0,False
Ethiopia RPRF-11032024.pdf,15,1662,0,False
Ethiopia.pdf,1,2945,0,False
fta_performance_survey_final_report_2022.pdf,1,318,4,False
fta_performance_survey_final_report_2022.pdf,2,5221,0,False
fta_performance_survey_final_report_2022.pdf,3,3872,0,False
fta_performance_survey_final_report_2022.pdf,4,4387,0,False
fta_performance_survey_final_report_2022.pdf,5,4434,0,False
fta_performance_survey_final_report_2022.pdf,6,669,0,False
fta_performance_survey_final_report_2022.pdf,7,785,0,False
fta_performance_survey_final_report_2022.pdf,8,1172,0,False
fta_performance_survey_final_report_2022.pdf,9,2651,0,False
fta_performance_survey_final_report_2022.pdf,10,2656,0,False
fta_performance_survey_final_report_2022.pdf,11,2573,0,False
fta_performance_survey_final_report_2022.pdf,12,2411,0,False
fta_performance_survey_final_report_2022.pdf,13,2467,0,False
fta_performance_survey_final_report_2022.pdf,14,2411,0,False
fta_performance_survey_final_report_2022.pdf,15,2116,0,False
fta_performance_survey_final_report_2022.pdf,16,582,0,False
fta_performance_survey_final_report_2022.pdf,17,2525,0,False
fta_performance_survey_final_report_2022.pdf,18,2630,0,False
fta_performance_survey_final_report_2022.pdf,19,2148,0,False
fta_performance_survey_final_report_2022.pdf,20,2171,0,False
fta_performance_survey_final_report_2022.pdf,21,1976,0,False
fta_performance_survey_final_report_2022.pdf,22,2414,0,False
fta_performance_survey_final_report_2022.pdf,23,2325,0,False
fta_performance_survey_final_report_2022.pdf,24,1776,0,False
fta_performance_survey_final_report_2022.pdf,25,2581,0,False
fta_performance_survey_final_report_2022.pdf,26,2272,0,False
fta_performance_survey_final_report_2022.pdf,27,2349,3,False
fta_performance_survey_final_report_2022.pdf,28,1611,4,False
fta_performance_survey_final_report_2022.pdf,29,1558,3,False
fta_performance_survey_final_report_2022.pdf,30,2195,0,False
fta_performance_survey_final_report_2022.pdf,31,2221,0,False
fta_performance_survey_final_report_2022.pdf,32,2483,0,False
fta_performance_survey_final_report_2022.pdf,33,1517,0,False
fta_performance_survey_final_report_2022.pdf,34,1051,0,False
fta_performance_survey_final_report_2022.pdf,35,493,0,False
fta_performance_survey_final_report_2022.pdf,36,1447,0,False
fta_performance_survey_final_report_2022.pdf,37,762,0,False
fta_performance_survey_final_report_2022.pdf,38,750,0,False
fta_performance_survey_final_report_2022.pdf,39,957,0,False
fta_performance_survey_final_report_2022.pdf,40,1683,0,False
fta_performance_survey_final_report_2022.pdf,41,1437,0,False
fta_performance_survey_final_report_2022.pdf,42,2074,0,False
fta_performance_survey_final_report_2022.pdf,43,923,0,False
fta_performance_survey_final_report_2022.pdf,44,3008,0,False
fta_performance_survey_final_report_2022.pdf,45,847,0,False
fta_performance_survey_final_report_2022.pdf,46,1777,0,False
fta_performance_survey_final_report_2022.pdf,47,1793,0,False
fta_performance_survey_final_report_2022.pdf,48,1752,0,False
fta_performance_survey_final_report_2022.pdf,49,1408,1,False
fta_performance_survey_final_report_2022.pdf,50,1949,0,False
fta_performance_survey_final_report_2022.pdf,51,1044,0,False
fta_performance_survey_final_report_2022.pdf,52,1604,0,False
fta_performance_survey_final_report_2022.pdf,53,597,0,False
fta_performance_survey_final_report_2022.pdf,54,1063,0,False
fta_performance_survey_final_report_2022.pdf,55,1723,0,False
fta_performance_survey_final_report_2022.pdf,56,837,0,False
fta_performance_survey_final_report_2022.pdf,57,992,0,False
fta_performance_survey_final_report_2022.pdf,58,1125,0,False
fta_performance_survey_final_report_2022.pdf,59,921,0,False
fta_performance_survey_final_report_2022.pdf,60,70,0,False
fta_performance_survey_final_report_2022.pdf,61,1086,0,False
fta_performance_survey_final_report_2022.pdf,62,782,0,False
fta_performance_survey_final_report_2022.pdf,63,890,0,False
fta_performance_survey_final_report_2022.pdf,64,795,0,False
fta_performance_survey_final_report_2022.pdf,65,1013,0,False
fta_performance_survey_final_report_2022.pdf,66,1058,0,False
fta_performance_survey_final_report_2022.pdf,67,1683,0,False
fta_performance_survey_final_report_2022.pdf,68,1691,0,False
fta_performance_survey_final_report_2022.pdf,69,1825,1,False
fta_performance_survey_final_report_2022.pdf,70,1082,0,False
fta_performance_survey_final_report_2022.pdf,71,1169,0,False
fta_performance_survey_final_report_2022.pdf,72,1243,0,False
fta_performance_survey_final_report_2022.pdf,73,687,0,False
fta_performance_survey_final_report_2022.pdf,74,974,0,False
fta_performance_survey_final_report_2022.pdf,75,919,0,False
fta_performance_survey_final_report_2022.pdf,76,1196,0,False
fta_performance_survey_final_report_2022.pdf,77,681,0,False
fta_performance_survey_final_report_2022.pdf,78,2902,1,False
fta_performance_survey_final_report_2022.pdf,79,93,0,False
fta_performance_survey_final_report_2022.pdf,80,1980,0,False
fta_performance_survey_final_report_2022.pdf,81,927,0,False
fta_performance_survey_final_report_2022.pdf,82,1808,0,False
fta_performance_survey_final_report_2022.pdf,83,735,0,False
fta_performance_survey_final_report_2022.pdf,84,2679,0,False
fta_performance_survey_final_report_2022.pdf,85,2734,0,False
fta_performance_survey_final_report_2022.pdf,86,3005,0,False
fta_performance_survey_final_report_2022.pdf,87,2224,2,False
fta_performance_survey_final_report_2022.pdf,88,1384,1,False
fta_performance_survey_final_report_2022.pdf,89,2535,0,False
fta_performance_survey_final_report_2022.pdf,90,1582,1,False
fta_performance_survey_final_report_2022.pdf,91,1780,0,False
fta_performance_survey_final_report_2022.pdf,92,1129,0,False
fta_performance_survey_final_report_2022.pdf,93,1704,0,False
fta_performance_survey_final_report_2022.pdf,94,671,0,False
fta_performance_survey_final_report_2022.pdf,95,2532,0,False
fta_performance_survey_final_report_2022.pdf,96,725,0,False
fta_performance_survey_final_report_2022.pdf,97,1668,0,False
fta_performance_survey_final_report_2022.pdf,98,2518,0,False
fta_performance_survey_final_report_2022.pdf,99,2569,0,False
fta_performance_survey_final_report_2022.pdf,100,2705,0,False
fta_performance_survey_final_report_2022.pdf,101,2669,0,False
fta_performance_survey_final_report_2022.pdf,102,2463,0,False
fta_performance_survey_final_report_2022.pdf,103,2768,0,False
fta_performance_survey_final_report_2022.pdf,104,181,0,False
fta_performance_survey_final_report_2022.pdf,105,2472,0,False
fta_performance_survey_final_report_2022.pdf,106,2322,0,False
fta_performance_survey_final_report_2022.pdf,107,1856,1,False
fta_performance_survey_final_report_2022.pdf,108,1644,1,False
fta_performance_survey_final_report_2022.pdf,109,1580,0,False
fta_performance_survey_final_report_2022.pdf,110,1176,1,False
fta_performance_survey_final_report_2022.pdf,111,1361,4,False
fta_performance_survey_final_report_2022.pdf,112,1224,1,False
fta_performance_survey_final_report_2022.pdf,113,1208,1,False
fta_performance_survey_final_report_2022.pdf,114,1128,1,False
